ComputerName;SerialNumber;WhenCreated;FiveYearDate;DaysUntilFiveYears
DSIMAR1262;8CC0090298;17.03.2020;17.03.2025;-392
DSIMAR1263;8CC0090KRP;23.03.2020;23.03.2025;-386
DSIMAR1266;8CC0110FXT;30.03.2020;30.03.2025;-379
DSIMAR1267;8CC0110FXW;14.10.2024;14.10.2029;1280
DSIMAR1268;8CC0140LTF;23.04.2020;23.04.2025;-355
DSIMAR1269;8CC0140LTG;23.04.2020;23.04.2025;-355
DSIMAR1270;8CC0140LTD;24.04.2020;24.04.2025;-354
DSIMAR1271;8CC0135JX0;28.04.2020;28.04.2025;-350
DSIMAR1273;8CC0152JT1;4.05.2020;4.05.2025;-344
DSIMAR1274;8CC0152JT0;5.05.2020;5.05.2025;-343
DSIMAR1275;8CC0152JSZ;5.05.2020;5.05.2025;-343
DSIMAR1279;8CC9472XDP;9.06.2020;9.06.2025;-308
DSIMAR1280;8CC0222C43;16.06.2020;16.06.2025;-301
DSIMAR1281;8CC0222C42;16.06.2020;16.06.2025;-301
DSIMAR1282;8CC0232KF8;23.06.2020;23.06.2025;-294
DSIMAR1283;8CC0260DZP;7.07.2020;7.07.2025;-280
DSIMAR1284;8CC0251PKH;9.07.2020;9.07.2025;-278
DSIMAR1286;8CC028059B;28.07.2020;28.07.2025;-259
DSIMAR1287;8CC0281Q0H;16.02.2021;16.02.2026;-56
DSIMAR1288;8CC0281Q0J;27.08.2020;27.08.2025;-229
DSIMAR1289;8CC0281Q0F;1.09.2020;1.09.2025;-224
DSIMAR1290;8CC0281Q0K;1.09.2020;1.09.2025;-224
DSIMAR1291;8CC0281Q0G;2.09.2020;2.09.2025;-223
DSIMAR1293;8CC0340LBK;16.09.2020;16.09.2025;-209
DSIMAR1294;8CC03117VZ;17.09.2020;17.09.2025;-208
DSIMAR1295;8CC0371858;12.10.2020;12.10.2025;-183
DSIMAR1298;8CC0371859;20.10.2020;20.10.2025;-175
DSIMAR1299;8CC0460Y9L;24.11.2020;24.11.2025;-140
DSIMAR1300;8CC0460Y9M;26.11.2020;26.11.2025;-138
DSIMAR1301;8CC04524M7;12.10.2021;12.10.2026;182
DSIMAR1303;8CC0460Y9P;19.02.2021;19.02.2026;-53
DSIMAR1304;8CC0460Y9K;4.12.2020;4.12.2025;-130
DSIMAR1306;8CC0460Y9F;9.12.2020;9.12.2025;-125
DSIMAR1307;8CC0462KYM;14.01.2021;14.01.2026;-89
DSIMAR1309;8CC0460Y9B;24.08.2023;24.08.2028;864
DSIMAR1310;8CC0110FXV;20.10.2023;20.10.2028;921
DSIMAR1312;8CC0460Y9Q;26.03.2021;26.03.2026;-18
DSIMAR1313;8CC0460Y9R;13.04.2021;13.04.2026;0
DSIMAR1314;8CC1122MX5;19.04.2021;19.04.2026;6
DSIMAR1316;8CC0460Y9J;28.04.2021;28.04.2026;15
DSIMAR1317;8CC0460Y9N;3.05.2021;3.05.2026;20
DSIMAR1318;8CC11626X7;6.05.2021;6.05.2026;23
DSIMAR1319;8CC1271KHM;21.07.2021;21.07.2026;99
DSIMAR1320;8CC13524MV;14.09.2021;14.09.2026;154
