ComputerName;SerialNumber;WhenCreated;FiveYearDate;DaysUntilFiveYears
DSIMAR2052;8CC0490K51;21.12.2020;21.12.2025;-113
DSIMAR2055;CZC241B4FQ;24.10.2022;24.10.2027;559
DSIMAR2060;1HF5381T14;13.10.2025;13.10.2030;1644
DSIMAR2069;8CC0280MSP;31.07.2024;31.07.2029;1205
DSIMAR2086;8CC0135JWZ;5.05.2020;5.05.2025;-343
DSIMAR2088;8CC23506QT;22.09.2022;22.09.2027;527
DSIMAR2091;8CC0411Y46;2.11.2020;2.11.2025;-162
DSIMAR2092;8CC0411Y45;3.11.2020;3.11.2025;-161
DSIMAR2095;;19.02.2021;19.02.2026;-53
DSIMAR2096;8CC1051F8S;22.02.2021;22.02.2026;-50
DSIMAR2099;8CG8369ZJD;25.03.2021;25.03.2026;-19
DSIMAR2101;8CC0421PXQ;4.11.2020;4.11.2025;-160
DSIMAR2102;;4.11.2020;4.11.2025;-160
DSIMAR2103;;4.11.2020;4.11.2025;-160
DSIMAR2104;8CC0421PXZ;4.11.2020;4.11.2025;-160
DSIMAR2105;8CC0421PXV;4.11.2020;4.11.2025;-160
DSIMAR2106;8CC0421PXT;4.11.2020;4.11.2025;-160
DSIMAR2107;8CC0421PY1;4.11.2020;4.11.2025;-160
DSIMAR2108;8CC0421PXY;23.01.2025;23.01.2030;1381
DSIMAR2109;8CC0421PXW;4.11.2020;4.11.2025;-160
DSIMAR2110;8CC0421PXS;4.11.2020;4.11.2025;-160
DSIMAR2111;8CC0421PY0;4.11.2020;4.11.2025;-160
DSIMAR2112;8CC0421PXN;4.11.2020;4.11.2025;-160
DSIMAR2113;8CC0421PXR;4.11.2020;4.11.2025;-160
DSIMAR2114;8CC1351086;17.09.2021;17.09.2026;157
DSIMAR2116;8CC14526PY;14.12.2021;14.12.2026;245
DSIMAR2117;8CC3282L2R;6.10.2023;6.10.2028;907
DSIMAR2118;8CC3381VL2;16.10.2023;16.10.2028;917
DSIMAR2119;8CC3411CTZ;7.11.2023;7.11.2028;939
DSIMAR2120;8CC40611WX;28.02.2024;28.02.2029;1052
DSIMAR2121;8CC411146Q;15.05.2024;15.05.2029;1128
DSIMAR2122;8CC430212G;20.08.2024;20.08.2029;1225
DSIMAR2124;8CG430212D;12.11.2024;12.11.2029;1309
DSIMAR2125;1HF530256J;28.08.2025;28.08.2030;1598
DSIMAR2200;8CC3491HSG;17.01.2024;17.01.2029;1010
DSIMAR3000;;1.09.2022;1.09.2027;506
DSIMAR3001;;5.08.2022;5.08.2027;479
DSIMAR3002;;5.08.2022;5.08.2027;479
DSIMAR3003;;5.08.2022;5.08.2027;479
DSIMAR3004;;5.08.2022;5.08.2027;479
DSIMAR3005;;5.08.2022;5.08.2027;479
DSIMAR3006;;5.08.2022;5.08.2027;479
DSIMAR3007;B22G240622001;1.09.2022;1.09.2027;506
DSIMAR3008;;14.05.2024;14.05.2029;1127
DSIMAR3009;;8.08.2022;8.08.2027;482
DSIMAR3010;;8.08.2022;8.08.2027;482
DSIMAR3011;;8.08.2022;8.08.2027;482
DSIMAR3013;;8.08.2022;8.08.2027;482
DSIMAR3014;;8.08.2022;8.08.2027;482
DSIMAR3015;;8.08.2022;8.08.2027;482
DSIMAR3016;;8.08.2022;8.08.2027;482
DSIMAR3017;;8.08.2022;8.08.2027;482
DSIMAR3018;;21.06.2024;21.06.2029;1165
DSIMAR3019;;8.08.2022;8.08.2027;482
DSIMAR3020;B22G270722001;8.08.2022;8.08.2027;482
DSIMAR3021;;8.08.2022;8.08.2027;482
DSIMAR3023;;8.08.2022;8.08.2027;482
DSIMAR3024;;8.08.2022;8.08.2027;482
DSIMAR3025;;8.08.2022;8.08.2027;482
DSIMAR3026;;8.08.2022;8.08.2027;482
DSIMAR3027;;8.08.2022;8.08.2027;482
DSIMAR3028;;8.08.2022;8.08.2027;482
DSIMAR3029;B22G270722002;8.08.2022;8.08.2027;482
DSIMAR3030;;8.08.2022;8.08.2027;482
DSIMAR3031;;8.08.2022;8.08.2027;482
DSIMAR3032;;30.01.2024;30.01.2029;1023
DSIMAR3033;;30.01.2024;30.01.2029;1023
MININT-RAJV4F6;;13.04.2026;13.04.2031;1826
MSIMAR1001;CND95101G4;10.01.2020;10.01.2025;-458
MSIMAR1003;CND0193XH2;17.06.2020;17.06.2025;-300
MSIMAR1004;CND041536H;9.11.2020;9.11.2025;-155
MSIMAR1005;CND1419PZ3;15.11.2021;15.11.2026;216
MSIMAR1006;CND1419PZ2;22.11.2021;22.11.2026;223
MSIMAR1007;CND3090HFP;21.12.2023;21.12.2028;983
MSIMAR1008;PW0G7PVV;21.05.2025;21.05.2030;1499
MSIMAR1009;PW0G427F;22.05.2025;22.05.2030;1500
MSIMAR1010;PW0G7PW7;28.05.2025;28.05.2030;1506
MSIMAR1011;PW0G7PVS;28.05.2025;28.05.2030;1506
MSIMAR1012;PW0G427D;2.02.2026;2.02.2031;1756
MSIMAR1013;PW0G7PVY;4.02.2026;4.02.2031;1758
MSIMAR2001;CND4160018;25.04.2024;25.04.2029;1108
MININT-G9S720H;1H84393RK9;26.09.2025;26.09.2030;1627
NSIMAR1050;;8.01.2026;8.01.2031;1731
NSIMAR1056;5CG8344WP5;20.03.2023;20.03.2028;707
NSIMAR1059;5CG8423G7Z;30.10.2018;30.10.2023;-896
NSIMAR1067;5CG9353MZR;31.07.2025;31.07.2030;1570
NSIMAR1071;5CG9444LWY;26.10.2023;26.10.2028;927
NSIMAR1072;5CG9439SCP;17.01.2025;17.01.2030;1375
NSIMAR1073;5CG9450V3F;12.04.2021;12.04.2026;-1
NSIMAR1077;;13.01.2026;13.01.2031;1736
NSIMAR1079;5CG0125JNR;7.04.2020;7.04.2025;-371
NSIMAR1080;5CG01365KZ;9.04.2020;9.04.2025;-369
NSIMAR1081;5CG012BC3S;19.10.2021;19.10.2026;189
NSIMAR1082;5CG026BK60;11.02.2025;11.02.2030;1400
NSIMAR1083;5CG9521848;24.08.2020;24.08.2025;-232
NSIMAR1084;5CG0322ZX3;25.08.2020;25.08.2025;-231
NSIMAR1085;5CG038BL3Q;5.10.2020;5.10.2025;-190
NSIMAR1088;5CG052CKZD;18.01.2021;18.01.2026;-85
NSIMAR1089;5CG0518TKC;7.11.2022;7.11.2027;573
NSIMAR1090;5CG1110NCC;30.03.2021;30.03.2026;-14
NSIMAR1092;5CG1110NCJ;7.04.2021;7.04.2026;-6
NSIMAR1093;5CG1110NCD;22.04.2023;22.04.2028;740
NSIMAR1095;5CD201KGDQ;31.01.2024;31.01.2029;1024
NSIMAR1097;5CD221276C;6.06.2022;6.06.2027;419
NSIMAR1099;5CG21554VZ;6.07.2022;6.07.2027;449
NSIMAR1101;5CD227F737;18.08.2022;18.08.2027;492
NSIMAR1102;5CD227DBCB;22.08.2022;22.08.2027;496
NSIMAR1103;5CD227F73C;24.08.2022;24.08.2027;498
NSIMAR1104;5CD227F73B;29.08.2022;29.08.2027;503
NSIMAR1105;5CD227DBC8;2.12.2024;2.12.2029;1329
NSIMAR1106;5CD227F739;5.09.2022;5.09.2027;510
NSIMAR1107;5CD227F734;2.07.2024;2.07.2029;1176
NSIMAR1108;5CD227F736;12.09.2022;12.09.2027;517
NSIMAR1109;5CD227DBC9;15.11.2022;15.11.2027;581
NSIMAR1110;5CD2437YJ9;19.01.2023;19.01.2028;646
NSIMAR1111;5CD227F738;10.02.2023;10.02.2028;668
NSIMAR1112;5CD30770MX;13.11.2024;13.11.2029;1310
NSIMAR1113;5CD310JX8W;17.04.2023;17.04.2028;735
NSIMAR1114;5CD3145JHG;19.04.2023;19.04.2028;737
NSIMAR1115;5CD3158W5R;9.05.2023;9.05.2028;757
NSIMAR1116;5CD3158W5Q;9.05.2023;9.05.2028;757
NSIMAR1117;5CD3144NM3;10.05.2023;10.05.2028;758
NSIMAR1118;5CG2510QTC;11.05.2023;11.05.2028;759
NSIMAR1119;5CD315FS7L;12.05.2023;12.05.2028;760
NSIMAR1120;5CD313719T;23.05.2023;23.05.2028;771
NSIMAR1121;5CD3194YQ1;6.06.2023;6.06.2028;785
NSIMAR1122;5CD316CSZ3;27.06.2023;27.06.2028;806
NSIMAR1123;5CD325BQ5T;17.09.2024;17.09.2029;1253
NSIMAR1124;5CD325BQ5S;9.01.2025;9.01.2030;1367
NSIMAR1125;5CD325BQ5V;14.11.2024;14.11.2029;1311
NSIMAR1126;5CG3272XV2;20.07.2023;20.07.2028;829
NSIMAR1127;5CD30439TB;21.08.2023;21.08.2028;861
NSIMAR1128;5CG33908LD;20.10.2023;20.10.2028;921
NSIMAR1129;5CD3029WFX;26.10.2023;26.10.2028;927
NSIMAR1130;5CG3484S3W;14.12.2023;14.12.2028;976
NSIMAR1131;5CG3484S3X;18.12.2023;18.12.2028;980
NSIMAR1132;5CD345F709;8.01.2024;8.01.2029;1001
NSIMAR1133;5CD3497XJ2;11.01.2024;11.01.2029;1004
NSIMAR1134;1H84200NFH;13.06.2024;13.06.2029;1157
NSIMAR1135;1H84241BMX;20.09.2024;20.09.2029;1256
NSIMAR1136;5CD3447T8Z;15.11.2024;15.11.2029;1312
NSIMAR1137;5CG4400YLZ;20.11.2024;20.11.2029;1317
NSIMAR1138;5CG4400YM0;26.11.2024;26.11.2029;1323
NSIMAR1139;1H850116CJ;27.01.2025;27.01.2030;1385
NSIMAR1140;1H850116CK;29.01.2025;29.01.2030;1387
NSIMAR1141;1H8506172Y;25.02.2025;25.02.2030;1414
NSIMAR1142;5CG5115FRQ;7.04.2025;7.04.2030;1455
NSIMAR1143;1H85121BY9;8.05.2025;8.05.2030;1486
NSIMAR1144;5CG5192T6N;26.05.2025;26.05.2030;1504
NSIMAR1145;5CG51721WX;12.05.2025;12.05.2030;1490
NSIMAR1146;5CG5150K44;21.05.2025;21.05.2030;1499
NSIMAR1147;5CD5244NS5;30.06.2025;30.06.2030;1539
NSIMAR1148;5CG5242NYD;30.06.2025;30.06.2030;1539
NSIMAR1149;5CG5261JNC;11.07.2025;11.07.2030;1550
NSIMAR1150;1H850116CL;16.07.2025;16.07.2030;1555
NSIMAR1151;5CD5276YCN;28.07.2025;28.07.2030;1567
NSIMAR1152;5CG5282ZS4;28.07.2025;28.07.2030;1567
NSIMAR1153;5CD5281Y40;28.07.2025;28.07.2030;1567
NSIMAR1154;5CD531292K;3.09.2025;3.09.2030;1604
NSIMAR1155;5CD5307ZBB;3.09.2025;3.09.2030;1604
NSIMAR1156;5CD5357L4W;15.09.2025;15.09.2030;1616
NSIMAR1157;5CD5376FZM;7.10.2025;7.10.2030;1638
NSIMAR1158;1H84432KPQ;20.10.2025;20.10.2030;1651
NSIMAR1159;5CD5403XMW;2.12.2025;2.12.2030;1694
